FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,LOGIT_SHAPE,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,7,0.0013393695,0.0012686303,0.011338882,0.04384729,0.012481077,0.0015655905,0.92815906
dia103_utt5.wav,surprise,surprise,True,7,0.0010946963,0.0009976239,0.00872679,0.056564808,0.046083044,0.0011571851,0.8853758
dia104_utt0.wav,surprise,joy,False,7,0.0015320267,0.0016566461,0.005874962,0.05912992,0.08353146,0.002098089,0.8461769
dia104_utt2.wav,surprise,neutral,False,7,0.0025468813,0.0024028292,0.004175997,0.08668933,0.3696986,0.0025433851,0.53194296
dia106_utt0.wav,anger,anger,True,7,0.91333985,0.0021537752,0.0011303173,0.06130328,0.017216757,0.002226683,0.0026294189
dia109_utt1.wav,surprise,joy,False,7,0.022293305,0.0005700954,0.015660362,0.24860312,0.007986555,0.0036073548,0.7012792
dia109_utt6.wav,neutral,neutral,True,7,0.0038063827,0.0029029944,0.0020364171,0.03697104,0.93289566,0.006689044,0.014698409
dia10_utt0.wav,neutral,anger,False,7,0.18961954,0.0017718459,0.0019463066,0.1954758,0.6006311,0.0024578092,0.0080974735
dia10_utt1.wav,surprise,neutral,False,7,0.002318058,0.0010525939,0.008725837,0.051020455,0.0106443865,0.0025709227,0.9236677
dia10_utt2.wav,neutral,neutral,True,7,0.0019666487,0.0012623059,0.0047887606,0.09825476,0.48761955,0.0012238283,0.40488413
dia110_utt0.wav,surprise,surprise,True,7,0.0015235819,0.0013277497,0.0102862725,0.05404202,0.022379523,0.0034201783,0.90702057
dia111_utt12.wav,neutral,neutral,True,7,0.004505086,0.0024030781,0.0016217877,0.03472209,0.9412438,0.0034355943,0.012068557
dia111_utt14.wav,neutral,neutral,True,7,0.0048631043,0.0026703682,0.0027494663,0.04491603,0.88452166,0.03643887,0.02384051
dia113_utt2.wav,surprise,joy,False,7,0.0016945855,0.0013716558,0.0061581754,0.057813916,0.049972724,0.0015955431,0.8813935
dia113_utt7.wav,anger,anger,True,7,0.92967665,0.0014518013,0.0014340321,0.05662019,0.0036347716,0.0046889195,0.0024936919
dia114_utt1.wav,neutral,neutral,True,7,0.0058188024,0.002826905,0.0016705255,0.034810666,0.9419397,0.0035057967,0.009427678
dia114_utt5.wav,surprise,joy,False,7,0.0017041613,0.0010370923,0.011727031,0.047674567,0.009535345,0.0016840951,0.92663765
dia116_utt1.wav,neutral,neutral,True,7,0.004346575,0.002580955,0.0014983104,0.03645158,0.92942345,0.0016407879,0.02405838
dia116_utt5.wav,sadness,sadness,True,7,0.0046184035,0.0013564099,0.0012664658,0.00079460774,0.00056795334,0.99112743,0.00026878013
dia121_utt1.wav,neutral,joy,False,7,0.024698041,0.00034456022,0.002185453,0.2639773,0.68661684,0.0055930843,0.016584625
dia121_utt3.wav,neutral,neutral,True,7,0.0054429076,0.0015707928,0.0020431937,0.05003885,0.9263035,0.0019327143,0.012668067
dia121_utt5.wav,surprise,joy,False,7,0.001657156,0.0013997812,0.005704583,0.04950541,0.036793176,0.0017750872,0.90316486
dia125_utt11.wav,joy,joy,True,7,0.004770533,0.00017146263,0.020476846,0.49145862,0.06409636,0.0013668751,0.41765925
