FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,EMBEDDING_SHAPE,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,1024,3.7342982e-06,2.2588194e-09,2.3411349e-05,9.9240606e-05,1.6642822e-05,1.1394898e-06,0.9998559
dia103_utt5.wav,surprise,surprise,True,1024,4.2788744e-07,1.2932953e-06,2.2704468e-08,1.0667886e-05,5.444684e-05,7.9887235e-05,0.99985325
dia104_utt0.wav,joy,joy,True,1024,3.096534e-08,4.939843e-07,1.0138567e-08,0.99999845,9.872223e-07,6.0981203e-10,7.742587e-08
dia104_utt2.wav,neutral,neutral,True,1024,4.774436e-07,6.7098135e-08,2.3962848e-08,1.7263455e-05,0.9999726,3.3216747e-06,6.336345e-06
dia106_utt0.wav,anger,anger,True,1024,0.9997273,7.644933e-06,4.603486e-07,9.395671e-05,1.4440801e-06,9.82648e-06,0.00015930865
dia109_utt1.wav,joy,joy,True,1024,4.7803627e-05,8.256836e-07,1.6869022e-06,0.99947673,0.00045261666,4.464914e-06,1.5962323e-05
dia109_utt6.wav,neutral,neutral,True,1024,1.2299923e-05,5.7865045e-06,6.9127145e-07,1.8709872e-05,0.99993527,1.1301752e-06,2.6135465e-05
dia10_utt0.wav,anger,anger,True,1024,0.99784946,8.797892e-06,2.8821963e-05,0.0012990019,0.00080512225,7.5092353e-06,1.4244013e-06
dia10_utt1.wav,surprise,neutral,False,1024,1.3943659e-05,1.6899141e-05,7.747777e-08,0.010457417,0.29121622,0.0003486517,0.6979468
dia10_utt2.wav,disgust,neutral,False,1024,0.0034157373,0.96972084,0.0011803453,0.01809376,0.0068087424,1.0046449e-06,0.0007795292
dia110_utt0.wav,surprise,surprise,True,1024,8.8089547e-07,0.00018307703,7.9179085e-07,0.00019563457,7.715384e-06,1.5448473e-05,0.9995964
dia111_utt12.wav,neutral,neutral,True,1024,2.5459684e-08,1.9382298e-09,4.897583e-07,6.0362495e-08,0.9999907,1.1183225e-06,7.641138e-06
dia111_utt14.wav,neutral,neutral,True,1024,8.467449e-08,2.0344126e-09,2.4850387e-05,4.999532e-06,0.9999571,4.6862164e-07,1.2484576e-05
dia113_utt2.wav,joy,joy,True,1024,2.22148e-06,7.1361734e-07,7.7460516e-07,0.9997453,7.947861e-05,1.722183e-07,0.00017133263
dia113_utt7.wav,anger,anger,True,1024,0.99962914,1.4919043e-07,3.100298e-06,0.00028868232,2.9644974e-05,5.6423723e-06,4.3654734e-05
dia114_utt1.wav,sadness,neutral,False,1024,3.871724e-05,0.06605966,0.00036681994,0.0018323086,0.0125047555,0.8775251,0.04167264
dia114_utt5.wav,surprise,joy,False,1024,0.083223835,3.2524504e-08,0.023893917,0.0072272792,3.9757673e-05,0.0028523365,0.8827628
dia116_utt1.wav,neutral,neutral,True,1024,2.5471727e-06,2.0218048e-12,6.495001e-11,1.0494286e-05,0.99998665,7.3159727e-09,4.1595138e-07
dia116_utt5.wav,sadness,sadness,True,1024,5.4177942e-08,1.8078975e-07,5.8250937e-09,2.326993e-08,1.3652193e-07,0.9999994,2.0005574e-07
dia121_utt1.wav,joy,joy,True,1024,1.7341367e-07,2.200625e-07,1.27922535e-08,0.9999018,9.282401e-05,4.5897236e-06,4.488684e-07
dia121_utt3.wav,joy,neutral,False,1024,0.047099058,5.1992825e-05,2.6203977e-06,0.9265136,0.015472207,0.010859248,1.2646016e-06
dia121_utt5.wav,joy,joy,True,1024,6.029875e-09,3.2275221e-13,8.127901e-09,0.9999989,9.131267e-07,1.8518732e-09,1.6016253e-07
dia125_utt11.wav,joy,joy,True,1024,0.00021492736,5.245236e-07,2.3222262e-06,0.9997788,2.0738774e-07,1.9664003e-06,1.300429e-06
dia125_utt12.wav,neutral,neutral,True,1024,1.6952745e-05,8.020451e-08,2.016268e-05,2.552846e-06,0.9999293,2.8097595e-06,2.8138153e-05
dia125_utt14.wav,surprise,surprise,True,1024,8.634688e-09,4.9370456e-08,3.6451114e-10,6.0525934e-05,5.6128715e-07,2.8737889e-08,0.99993885
dia125_utt17.wav,surprise,surprise,True,1024,1.23305945e-05,6.3749694e-06,3.156412e-07,0.00012199584,0.37378198,8.135042e-05,0.6259957
dia125_utt18.wav,anger,anger,True,1024,0.9999808,1.4671999e-08,4.3125482e-07,7.158801e-06,2.9541953e-09,1.5816815e-07,1.1368668e-05
dia125_utt19.wav,anger,anger,True,1024,0.9999999,5.3316658e-08,1.6369794e-08,1.339258e-08,1.0933021e-08,6.446651e-09,9.240586e-09
dia125_utt22.wav,surprise,surprise,True,1024,1.5852194e-06,1.2270553e-08,8.691443e-08,1.3666363e-05,6.666539e-05,8.482062e-06,0.9999094
