FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,NUM_CLASSES,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,7,0.036032245,0.0029768057,0.07892427,0.16511375,0.05651127,0.047133856,0.6133079
dia103_utt5.wav,surprise,surprise,True,7,0.020759773,0.0021063385,0.06626642,0.15839027,0.08225112,0.046307605,0.62391853
dia104_utt0.wav,neutral,joy,False,7,0.03304486,0.018513009,0.03414674,0.18961504,0.45364857,0.09991157,0.1711202
dia104_utt2.wav,surprise,neutral,False,7,0.02605963,0.006557641,0.08136707,0.17458653,0.15154865,0.06936184,0.4905186
dia106_utt0.wav,anger,anger,True,7,0.47695714,0.010105579,0.0051673222,0.30574664,0.07628249,0.045331314,0.080409534
dia109_utt1.wav,anger,joy,False,7,0.4069747,0.0056353505,0.0051762047,0.3500498,0.07657524,0.0350015,0.12058715
dia109_utt6.wav,surprise,neutral,False,7,0.060073964,0.007288726,0.034316517,0.26719633,0.23099683,0.06882883,0.3312988
dia10_utt0.wav,anger,anger,True,7,0.4001888,0.005894774,0.0046412023,0.34912035,0.09606842,0.036825947,0.107260525
dia10_utt1.wav,neutral,neutral,True,7,0.07733459,0.029660417,0.021764874,0.2247209,0.42518955,0.10739157,0.11393813
dia10_utt2.wav,joy,neutral,False,7,0.2688692,0.0052015614,0.008161072,0.38163254,0.110961795,0.03973143,0.18544252
dia110_utt0.wav,surprise,surprise,True,7,0.09603063,0.0032997,0.027527183,0.28444663,0.08401348,0.041696332,0.46298605
dia111_utt12.wav,neutral,neutral,True,7,0.032258525,0.026256777,0.036683682,0.17472309,0.47212875,0.114277005,0.14367208
dia111_utt14.wav,neutral,neutral,True,7,0.064113475,0.030286482,0.0234735,0.2103193,0.44741467,0.109714806,0.11467781
dia113_utt2.wav,joy,joy,True,7,0.30680704,0.0056546144,0.007415925,0.37330532,0.10753125,0.04064258,0.15864328
dia113_utt7.wav,anger,anger,True,7,0.42833912,0.0047895294,0.0042837854,0.34880292,0.06808364,0.031450704,0.11425026
dia114_utt1.wav,neutral,neutral,True,7,0.10139069,0.040759232,0.020267744,0.22141974,0.4067338,0.11627248,0.0931563
dia114_utt5.wav,joy,joy,True,7,0.26439187,0.010785238,0.008885051,0.35110712,0.1790439,0.05477446,0.13101235
