FILENAME,PREDICT_LABEL,TRUE_LABEL,MATCHING,ANGER_POSSIBILITY,DISGUST_POSSIBILITY,FEAR_POSSIBILITY,JOY_POSSIBILITY,NEUTRAL_POSSIBILITY,SADNESS_POSSIBILITY,SURPRISE_POSSIBILITY
dia103_utt3.wav,surprise,surprise,True,0.003313792,0.0005984928,0.0031075615,0.001435583,0.0005141707,0.0007340878,0.9902963
dia103_utt5.wav,surprise,surprise,True,0.00017798545,0.00089001644,0.00027944727,0.0009572626,0.004946958,0.0024273556,0.990321
dia104_utt0.wav,neutral,joy,False,0.10809199,0.040451515,0.010338688,0.069384106,0.55969316,0.074652545,0.13738804
dia104_utt2.wav,neutral,neutral,True,0.00455399,0.0018243418,0.0005598024,0.009275438,0.9752533,0.002314482,0.006218659
dia106_utt0.wav,anger,anger,True,0.9946032,0.00029168848,0.00017925032,0.00038994692,0.0038378532,0.00015547538,0.00054251804
dia109_utt1.wav,joy,joy,True,0.0018702754,0.00039574495,0.00061047124,0.98912853,0.0017161433,0.0007427712,0.0055360445
dia109_utt6.wav,neutral,neutral,True,0.0014265829,0.003110675,0.0027185637,0.007186878,0.9806277,0.0021905324,0.0027390851
dia10_utt0.wav,anger,anger,True,0.98236716,0.00042103883,0.00069069036,0.0038302166,0.0032283552,0.005755871,0.0037066808
dia10_utt1.wav,surprise,neutral,False,0.0364141,0.0166122,0.01637335,0.3665239,0.12559777,0.016689327,0.42178935
dia10_utt2.wav,neutral,neutral,True,0.049374066,0.13997985,0.0044932705,0.047608484,0.71361136,0.020767804,0.024165116
dia110_utt0.wav,surprise,surprise,True,0.0010448792,0.00193005,0.008591746,0.002686423,0.001373418,0.0024009026,0.9819726
dia111_utt12.wav,sadness,neutral,False,0.0013619977,0.0021351483,0.10791689,0.026579738,0.2904912,0.55585116,0.015663832
dia111_utt14.wav,neutral,neutral,True,0.0006945631,0.00075799064,0.00082551374,0.0039938865,0.98192513,0.0007585938,0.011044266
